Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;6.718,30 EUR;10.03.2023;07.03.2023;Xetra;13.03.2023 09:11:45
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,99 EUR;15.924,60 EUR;10.03.2023;07.03.2023;Xetra;10.03.2023 11:55:40
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;11,20 EUR;5.600,00 EUR;10.03.2023;07.03.2023;Xetra;10.03.2023 11:49:55
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Sonstiges;;;20.03.2023;07.03.2023;;20.03.2023 16:01:14
Deutsche Konsum REIT-AG;40024326;DE000A14KRD3;Obotritia Capital KGaA;in enger Beziehung;Aktie;Kauf;8,00 EUR;4.161.416,00 EUR;20.03.2023;07.03.2023;;20.03.2023 16:01:14
Noratis AG;40026106;DE000A2E4MK4;Schröer, Dr. Henning;Aufsichtsrat;Aktie;Sonstiges;0,00 EUR;0,00 EUR;08.03.2023;06.03.2023;;10.03.2023 08:58:52
Noratis AG;40026106;DE000A3H2TV6;Schröer, Dr. Henning;Aufsichtsrat;Schuldtitel;Sonstiges;0,00 EUR;0,00 EUR;08.03.2023;06.03.2023;;10.03.2023 08:53:35
VERBIO Vereinigte BioEnergie AG;40005572;DE000A0JL9W6;Krämer, Ulrike;Aufsichtsrat;Aktie;Kauf;47,18 EUR;23.592,00 EUR;08.03.2023;06.03.2023;Tradegate;09.03.2023 09:53:12
Ekotechnika AG;40020213;DE000A161234;Buwitt, Lars Bjarne;Aufsichtsrat;Aktie;Kauf;19,49 EUR;20.266,00 EUR;07.03.2023;06.03.2023;XETRA;08.03.2023 09:59:56
Ekotechnika AG;40020213;DE000A161234;Buwitt, Lars Bjarne;Aufsichtsrat;Aktie;Kauf;19,10 EUR;1.146,00 EUR;07.03.2023;06.03.2023;Berlin Tradegate;08.03.2023 09:54:35
